strike,bid,ask,lastPrice,impliedVolatility,volume,openInterest,midPrice,Moneyness,T,log_Moneyness,IV_mercado
270.0,102.5,105.35,102.9,0.5888712988281251,1,4,103.925,0.7239188114762851,0.09315068493150686,-0.3230760317293611,0.5888712988281251
280.0,92.5,95.7,92.5,0.5505416040039064,10,14,94.1,0.7507306193087401,0.09315068493150686,-0.2867083875584863,0.5505416040039064
290.0,83.0,86.05,70.18,0.5295457202148439,3,23,84.525,0.777542427141195,0.09315068493150686,-0.25161706774721626,0.5295457202148439
300.0,73.5,76.55,73.25,0.5045215563964844,21,95,75.025,0.8043542349736501,0.09315068493150686,-0.21771551607153483,0.5045215563964844
305.0,69.0,72.25,76.85,0.5079394909667969,2,32,70.625,0.8177601388898775,0.09315068493150686,-0.20118621412032436,0.5079394909667969
310.0,64.5,67.4,66.37,0.5569502313232424,3,54,65.95,0.8311660428061051,0.09315068493150686,-0.18492569324854402,0.5569502313232424
315.0,60.0,63.3,58.1,0.5573774731445313,4,37,61.65,0.8445719467223326,0.09315068493150686,-0.16892535190210284,0.5573774731445313
320.0,55.5,58.7,58.3,0.5361984857177735,3,37,57.1,0.8579778506385601,0.09315068493150686,-0.15317699493396364,0.5361984857177735
325.0,51.5,54.65,36.0,0.5316819293212891,2,30,53.075,0.8713837545547876,0.09315068493150686,-0.13767280839799848,0.5316819293212891
330.0,47.0,50.3,45.47,0.5145922564697265,20,100,48.65,0.8847896584710151,0.09315068493150686,-0.12240533626721001,0.5145922564697265
335.0,43.0,46.6,48.17,0.513951393737793,22,46,44.8,0.8981955623872426,0.09315068493150686,-0.10736745890266945,0.513951393737793
340.0,39.05,42.7,40.9,0.5039722454833984,52,61,40.875,0.91160146630347,0.09315068493150686,-0.0925523731175289,0.5039722454833984
345.0,35.5,38.9,33.2,0.49347430358886724,1,24,37.2,0.9250073702196976,0.09315068493150686,-0.07795357369637618,0.49347430358886724
350.0,32.0,35.0,35.48,0.47748325256347657,402,816,33.5,0.9384132741359251,0.09315068493150686,-0.06356483624427653,0.47748325256347657
355.0,28.65,32.0,31.1,0.47961946166992186,116,130,30.325,0.9518191780521525,0.09315068493150686,-0.04938020125232018,0.47961946166992186
360.0,25.8,28.65,28.25,0.4696708306884766,225,412,27.225,0.9652250819683801,0.09315068493150686,-0.03539395927758025,0.4696708306884766
365.0,22.5,25.75,26.0,0.4661308270263672,227,308,24.125,0.9786309858846076,0.09315068493150686,-0.021600637145244402,0.4661308270263672
370.0,20.1,23.0,21.74,0.46191944335937507,727,1873,21.55,0.9920368898008352,0.09315068493150686,-0.007994985089465745,0.46191944335937507
375.0,17.9,20.85,20.5,0.4666801379394532,370,501,19.375,1.0054427937170627,0.09315068493150686,0.005428035242674975,0.4666801379394532
380.0,15.7,18.65,19.05,0.4664970343017578,1289,707,17.174999999999997,1.01884869763329,0.09315068493150686,0.01867326199269543,0.4664970343017578
385.0,13.25,16.45,15.73,0.46252978881835943,201,457,14.85,1.0322546015495175,0.09315068493150686,0.03174534356004823,0.46252978881835943
390.0,12.25,14.5,13.6,0.4601494415283204,572,950,13.375,1.045660505465745,0.09315068493150686,0.04464874839595615,0.4601494415283204
395.0,10.1,12.8,11.9,0.45966116516113287,114,263,11.45,1.0590664093819726,0.09315068493150686,0.05738777417338594,0.45966116516113287
400.0,9.0,11.15,10.0,0.456609437866211,1768,2149,10.075,1.0724723132982001,0.09315068493150686,0.0699665563802461,0.456609437866211
405.0,8.35,10.1,9.08,0.46426927337646484,407,488,9.225,1.0858782172144277,0.09315068493150686,0.08238907637880327,0.46426927337646484
410.0,6.5,9.0,7.5,0.46783979431152345,307,921,7.75,1.0992841211306552,0.09315068493150686,0.09465916897061766,0.46783979431152345
415.0,5.85,8.25,7.02,0.4776053216552735,194,690,7.05,1.1126900250468825,0.09315068493150686,0.1067805295029623,0.4776053216552735
420.0,5.0,7.1,5.85,0.47400428344726564,399,1576,6.05,1.12609592896311,0.09315068493150686,0.11875672054967802,0.47400428344726564
425.0,4.0,5.85,5.5,0.4637504797363281,464,843,4.925,1.1395018328793376,0.09315068493150686,0.1305911781966809,0.4637504797363281
430.0,4.1,5.0,4.55,0.46155323608398446,465,1675,4.55,1.1529077367955651,0.09315068493150686,0.1422872179598722,0.46155323608398446
435.0,2.54,3.95,4.8,0.44861391235351555,90,306,3.245,1.1663136407117927,0.09315068493150686,0.1538480403609482,0.44861391235351555
